,Event label,Sample code/label,Sample ID,Date/Time of event,Latitude of event,Longitude of event,"DEPTH, water [m]",Method/Device of event,Area/locality,"Geology, comment","Accession number, genetics","Accession number, genetics","Accession number, genetics","Accession number, genetics",Measurement conducted,Measurement conducted,Measurement conducted,Bacteria [#/ml],Phytoplankton [#/l],Elevation [m]
16,SPONGES_0617_28-DR10,"Phakellia hirondellei (Region C, Le Danois East-Bank): WB-00702",DR10 #458,2017-01-01,44.1013,-4.6383,541,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568767,insdc:SRR11568989,insdc:MT495724,insdc:SAMN15376264,yes,no,yes,,,-541.0
17,SPONGES_0617_28-DR10,"Phakellia hirondellei (Region C, Le Danois East-Bank): WB-00703",DR10 #459,2017-01-01,44.1013,-4.6383,541,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568766,insdc:SRR11568988,insdc:MT495725,insdc:SAMN15376265,yes,no,no,,,-541.0
18,SPONGES_0617_28-DR10,"Phakellia hirondellei (Region C, Le Danois East-Bank): WB-01112",DR10 #464,2017-01-01,44.1013,-4.6383,541,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568765,insdc:SRR11568987,insdc:MT495726,insdc:SAMN15376266,yes,no,no,,,-541.0
19,SPONGES_0617_28-DR10,"Phakellia hirondellei (Region C, Le Danois East-Bank): WB-01113",DR10 #465,2017-01-01,44.1013,-4.6383,541,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568764,insdc:SRR11568986,insdc:MT495727,insdc:SAMN15376267,yes,no,no,,,-541.0
20,SPONGES_0617_28-DR10,"Phakellia hirondellei (Region C, Le Danois East-Bank): WB-01114",DR10 #466,2017-01-01,44.1013,-4.6383,541,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568762,insdc:SRR11568983,insdc:MT495728,insdc:SAMN15376268,yes,no,no,,,-541.0
21,SPONGES_0617_13-CTD3,"Seawater (Region A, Avil_s Canyon): SW-00217",SPONGES0617_13-CTD3,2017-01-01,43.8723,-5.9012,709,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568761,,,,,,,105222.0,170000.0,-709.0
22,SPONGES_0617_13-CTD3,"Seawater (Region A, Avil_s Canyon): SW-00218",SPONGES0617_13-CTD3,2017-01-01,43.8723,-5.9012,709,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568760,,,,,,,113852.0,88000.0,-709.0
23,SPONGES_0617_13-CTD3,"Seawater (Region A, Avil_s Canyon): SW-00219",SPONGES0617_13-CTD3,2017-01-01,43.8723,-5.9012,709,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568759,,,,,,,100148.0,195000.0,-709.0
24,SPONGES_0617_61-CTD15,"Seawater (Region B, Le Danois West-Bank): SW-00254",SPONGES0617_61-CTD15,2017-01-01,44.1057,-5.14,560,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568758,,,,,,,94593.0,73000.0,-560.0
25,SPONGES_0617_61-CTD15,"Seawater (Region B, Le Danois West-Bank): SW-00255",SPONGES0617_61-CTD15,2017-01-01,44.1057,-5.14,560,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568824,,,,,,,126444.0,153000.0,-560.0
26,SPONGES_0617_61-CTD15,"Seawater (Region B, Le Danois West-Bank): SW-00256",SPONGES0617_61-CTD15,2017-01-01,44.1057,-5.14,560,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568823,,,,,,,124815.0,128000.0,-560.0
27,SPONGES_0617_29-CTD8,"Seawater (Region C, Le Danois East-Bank): SW-00232",SPONGES0617_29-CTD8,2017-01-01,44.1015,-4.6372,544,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568822,,,,,,,121370.0,185000.0,-544.0
28,SPONGES_0617_29-CTD8,"Seawater (Region C, Le Danois East-Bank): SW-00233",SPONGES0617_29-CTD8,2017-01-01,44.1015,-4.6372,544,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568821,,,,,,,113704.0,88000.0,-544.0
29,SPONGES_0617_29-CTD8,"Seawater (Region C, Le Danois East-Bank): SW-00234",SPONGES0617_29-CTD8,2017-01-01,44.1015,-4.6372,544,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568820,,,,,,,122074.0,188000.0,-544.0
30,SPONGES_0617_07-CTD1,Seawater: SW-00211,SPONGES0617_07-CTD1,2017-01-01,43.9188,-6.2655,1172,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568818,,,,,,,107815.0,120000.0,-1172.0
31,SPONGES_0617_07-CTD1,Seawater: SW-00212,SPONGES0617_07-CTD1,2017-01-01,43.9188,-6.2655,1172,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568817,,,,,,,82519.0,78000.0,-1172.0
32,SPONGES_0617_07-CTD1,Seawater: SW-00213,SPONGES0617_07-CTD1,2017-01-01,43.9188,-6.2655,1172,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568816,,,,,,,88259.0,35000.0,-1172.0
33,SPONGES_0617_12-CTD2,Seawater: SW-00214,SPONGES0617_12-CTD2,2017-01-01,43.7768,-6.2037,1152,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568815,,,,,,,101815.0,885000.0,-1152.0
34,SPONGES_0617_12-CTD2,Seawater: SW-00215,SPONGES0617_12-CTD2,2017-01-01,43.7768,-6.2037,1152,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568814,,,,,,,107111.0,928000.0,-1152.0
35,SPONGES_0617_12-CTD2,Seawater: SW-00216,SPONGES0617_12-CTD2,2017-01-01,43.7768,-6.2037,1152,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568813,,,,,,,101741.0,1108000.0,-1152.0
36,SPONGES_0617_18-CTD4,Seawater: SW-00220,SPONGES0617_18-CTD4,2017-01-01,44.1033,-5.151,660,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568812,,,,,,,104519.0,178000.0,-660.0
37,SPONGES_0617_18-CTD4,Seawater: SW-00221,SPONGES0617_18-CTD4,2017-01-01,44.1033,-5.151,660,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568811,,,,,,,106852.0,143000.0,-660.0
38,SPONGES_0617_18-CTD4,Seawater: SW-00222,SPONGES0617_18-CTD4,2017-01-01,44.1033,-5.151,660,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568810,,,,,,,100111.0,155000.0,-660.0
39,SPONGES_0617_19-CTD5,Seawater: SW-00223,SPONGES0617_19-CTD5,2017-01-01,44.004,-5.1532,867,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568809,,,,,,,103556.0,110000.0,-867.0
40,SPONGES_0617_19-CTD5,Seawater: SW-00224,SPONGES0617_19-CTD5,2017-01-01,44.004,-5.1532,867,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568805,,,,,,,81778.0,98000.0,-867.0
41,SPONGES_0617_19-CTD5,Seawater: SW-00225,SPONGES0617_19-CTD5,2017-01-01,44.004,-5.1532,867,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568804,,,,,,,92630.0,140000.0,-867.0
42,SPONGES_0617_24-CTD6,Seawater: SW-00226,SPONGES0617_24-CTD6,2017-01-01,44.4217,-5.1055,673,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568803,,,,,,,106778.0,108000.0,-673.0
43,SPONGES_0617_24-CTD6,Seawater: SW-00227,SPONGES0617_24-CTD6,2017-01-01,44.4217,-5.1055,673,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568802,,,,,,,101556.0,145000.0,-673.0
44,SPONGES_0617_24-CTD6,Seawater: SW-00228,SPONGES0617_24-CTD6,2017-01-01,44.4217,-5.1055,673,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568801,,,,,,,116259.0,140000.0,-673.0
45,SPONGES_0617_27-CTD7,Seawater: SW-00229,SPONGES0617_27-CTD7,2017-01-01,43.933,-4.8935,1032,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568800,,,,,,,96963.0,105000.0,-1032.0
46,SPONGES_0617_27-CTD7,Seawater: SW-00230,SPONGES0617_27-CTD7,2017-01-01,43.933,-4.8935,1032,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568799,,,,,,,88037.0,138000.0,-1032.0
47,SPONGES_0617_27-CTD7,Seawater: SW-00231,SPONGES0617_27-CTD7,2017-01-01,43.933,-4.8935,1032,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568798,,,,,,,95852.0,298000.0,-1032.0
48,SPONGES_0617_40-CTD9,Seawater: SW-00235,SPONGES0617_40-CTD9,2017-01-01,43.7722,-6.1998,1166,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568797,,,,,,,93778.0,608000.0,-1166.0
49,SPONGES_0617_40-CTD9,Seawater: SW-00236,SPONGES0617_40-CTD9,2017-01-01,43.7722,-6.1998,1166,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568796,,,,,,,79556.0,648000.0,-1166.0
50,SPONGES_0617_40-CTD9,Seawater: SW-00237,SPONGES0617_40-CTD9,2017-01-01,43.7722,-6.1998,1166,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568794,,,,,,,86481.0,540000.0,-1166.0
